Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Minnesota,2020,32,2020-08-08,896,798,,198,22,35,,34,,,15,176,33,46,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2020,33,2020-08-15,888,803,,201,24,39,,27,15,12,12,173,35,51,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2020,34,2020-08-22,907,815,,204,25,44,,46,13,,18,155,35,59,50,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,35,2020-08-29,918,825,,192,42,51,,40,12,13,13,163,48,40,28,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2020,36,2020-09-05,895,797,,190,26,53,,41,,,17,161,32,51,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2020,37,2020-09-12,892,805,12,178,29,48,,37,,,13,163,44,57,46,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2020,38,2020-09-19,956,857,,219,30,43,,35,10,,18,164,67,47,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,39,2020-09-26,969,883,,201,29,55,,35,15,16,26,169,39,57,46,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2020,40,2020-10-03,886,792,,185,18,33,,35,12,,22,141,42,72,59,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,41,2020-10-10,1011,910,12,198,30,50,,48,,,21,168,37,85,72,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2020,42,2020-10-17,952,877,11,203,34,46,,39,,12,18,145,31,99,89,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Minnesota,2020,43,2020-10-24,1029,957,,207,28,42,,41,13,,31,172,35,124,111,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,44,2020-10-31,1074,984,11,202,26,41,,48,10,,23,153,56,156,136,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,45,2020-11-07,1142,1053,,183,25,64,,52,,,25,172,45,217,186,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2020,46,2020-11-14,1197,1110,11,197,20,49,,32,15,15,30,175,50,280,249,,,,,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2020,47,2020-11-21,1325,1241,12,188,28,44,10,36,21,11,26,195,52,406,370,,,,,,,,,,,,,,,
Minnesota,2020,48,2020-11-28,1398,1313,16,209,32,58,10,42,18,15,20,178,43,444,392,,,,,,,,,,,,,,,
Minnesota,2020,49,2020-12-05,1332,1250,,186,28,63,,45,10,,24,168,43,471,416,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,50,2020-12-12,1381,1292,,184,27,67,,48,18,12,28,157,46,480,421,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2020,51,2020-12-19,1268,1179,10,198,36,56,,30,10,,24,156,59,406,355,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,52,2020-12-26,1202,1124,12,179,39,43,,40,16,,29,174,55,326,272,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,53,2021-01-02,1183,1102,,196,28,55,,46,,,31,182,57,281,234,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2021,1,2021-01-09,1136,1055,16,218,39,53,,40,,,15,148,51,238,191,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2021,2,2021-01-16,1065,983,13,193,23,37,,38,13,13,22,166,44,214,174,,,,,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2021,3,2021-01-23,931,867,,185,25,31,,35,12,15,20,158,53,132,101,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2021,4,2021-01-30,904,833,,181,22,44,,41,13,,19,164,37,120,93,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2021,5,2021-02-06,949,870,,208,23,35,,41,10,,25,153,54,98,74,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2021,6,2021-02-13,849,810,,198,26,40,,25,,13,16,162,39,88,69,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Minnesota,2021,7,2021-02-20,827,790,,195,24,45,,40,12,11,24,146,28,63,43,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2021,8,2021-02-27,828,803,11,215,26,42,,38,15,11,20,144,50,45,27,,,,,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2021,9,2021-03-06,606,597,,137,16,28,,35,,10,14,106,43,45,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Minnesota,2021,10,2021-03-13,493,490,,111,19,33,,21,12,,16,101,25,30,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Mississippi,2020,1,2020-01-04,673,600,,115,,42,19,52,10,13,,170,34,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,2,2020-01-11,648,613,,131,21,30,23,54,,23,,164,27,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,3,2020-01-18,624,563,,109,19,35,17,38,,17,11,157,35,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2020,4,2020-01-25,611,573,,115,22,32,16,44,15,22,10,146,30,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Mississippi,2020,5,2020-02-01,608,553,,125,20,29,17,52,13,11,,149,30,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,6,2020-02-08,703,632,,115,35,38,22,41,,18,,196,40,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,7,2020-02-15,648,594,,120,23,35,22,40,,17,,168,41,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,8,2020-02-22,624,572,,111,21,30,20,52,12,12,,175,34,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,9,2020-02-29,663,614,,132,20,39,25,47,13,17,,163,36,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,10,2020-03-07,663,602,,131,28,28,23,49,13,11,,166,26,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,11,2020-03-14,622,570,,123,17,31,26,40,10,17,,150,24,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,12,2020-03-21,625,572,,124,24,37,17,42,,16,,151,34,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Mississippi,2020,13,2020-03-28,698,647,,148,31,38,25,60,,19,,144,40,15,15,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,14,2020-04-04,707,658,,122,21,30,24,54,,19,,174,36,53,51,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,15,2020-04-11,698,655,,100,40,45,25,41,12,13,,146,29,65,61,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,16,2020-04-18,732,672,,126,26,44,20,45,10,20,,165,38,66,59,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,17,2020-04-25,750,688,11,125,28,48,19,33,10,13,,191,32,67,62,,,,,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,18,2020-05-02,749,683,,117,41,35,17,39,11,10,,170,38,100,92,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,19,2020-05-09,747,695,,119,31,37,15,50,10,10,,184,35,86,77,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,20,2020-05-16,775,699,,119,30,43,25,45,11,16,,162,34,108,98,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,21,2020-05-23,722,666,,102,28,43,14,40,,14,,169,28,101,93,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,22,2020-05-30,749,690,,116,25,38,12,40,,16,,167,30,107,97,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,23,2020-06-06,726,665,,134,21,26,,50,11,18,,175,29,89,79,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Mississippi,2020,24,2020-06-13,702,636,,120,26,37,,39,,10,,173,31,69,65,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,25,2020-06-20,743,663,,112,29,37,12,33,14,17,,176,44,75,67,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,26,2020-06-27,718,655,10,120,29,38,18,35,,12,,160,40,68,56,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,27,2020-07-04,709,640,11,100,28,49,13,41,,18,,143,35,91,81,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,28,2020-07-11,796,737,,123,35,46,13,48,,12,,169,36,121,110,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,29,2020-07-18,784,715,,124,34,31,15,30,,20,,157,43,128,119,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,30,2020-07-25,882,815,,129,42,35,14,54,11,12,,184,35,164,150,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,31,2020-08-01,868,807,,137,34,46,16,39,,16,,161,26,227,209,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,32,2020-08-08,915,835,,136,23,42,20,43,,16,,165,34,199,178,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,33,2020-08-15,856,788,,133,21,29,13,36,,12,,172,42,192,172,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,34,2020-08-22,810,751,10,110,31,43,18,37,,13,,149,35,187,168,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,35,2020-08-29,808,741,,133,24,43,12,32,,12,12,168,30,157,136,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2020,36,2020-09-05,734,669,,109,28,35,21,34,,17,,159,22,114,98,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,37,2020-09-12,742,672,,122,27,37,,34,,13,,156,38,109,92,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,38,2020-09-19,736,673,,126,26,38,14,35,,14,,160,34,105,93,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,39,2020-09-26,720,668,,121,31,43,,25,11,11,,173,35,102,90,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Mississippi,2020,40,2020-10-03,724,660,,104,25,28,19,39,,13,,183,36,88,76,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,41,2020-10-10,760,693,,143,29,41,17,34,,13,10,166,40,74,67,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2020,42,2020-10-17,675,612,,110,37,37,12,42,,15,,137,31,76,63,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,43,2020-10-24,720,666,,126,23,49,14,51,10,12,,150,29,89,76,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,44,2020-10-31,712,654,,139,28,26,12,28,,16,10,157,37,89,72,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2020,45,2020-11-07,744,672,,110,23,33,14,40,10,12,,168,45,108,93,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,46,2020-11-14,779,718,,140,29,39,18,36,,10,,164,32,118,98,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,47,2020-11-21,791,732,,104,31,33,14,45,12,17,10,179,38,138,121,,,Suppressed (counts 1-9),,,,,,,,,,,,
Mississippi,2020,48,2020-11-28,815,760,,116,36,50,15,49,12,15,,158,39,160,135,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,49,2020-12-05,845,802,,124,28,46,18,35,11,15,12,158,41,203,176,,,Suppressed (counts 1-9),,,,,,,,,,,,
Mississippi,2020,50,2020-12-12,957,905,10,146,33,47,17,36,,13,,181,33,263,234,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2020,51,2020-12-19,915,871,,142,32,52,18,35,10,17,,173,37,237,209,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2020,52,2020-12-26,978,921,,140,32,45,21,55,12,14,17,173,40,247,231,,,Suppressed (counts 1-9),,,,,,,,,,,,
Mississippi,2020,53,2021-01-02,1053,987,,131,25,54,23,52,,19,19,185,44,292,251,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2021,1,2021-01-09,1036,987,10,121,37,43,16,50,10,,20,203,51,337,291,,,,,,,,,,Suppressed (counts 1-9),,,,,
Mississippi,2021,2,2021-01-16,1038,991,,110,40,42,18,46,,22,20,193,55,324,292,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2021,3,2021-01-23,991,934,,110,38,51,25,48,12,14,12,190,32,292,254,,,Suppressed (counts 1-9),,,,,,,,,,,,
Mississippi,2021,4,2021-01-30,874,814,,117,29,35,20,41,,19,,176,56,218,185,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2021,5,2021-02-06,826,782,,107,23,30,13,44,,13,24,155,37,214,184,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2021,6,2021-02-13,735,690,10,112,28,37,14,38,,13,17,157,24,143,120,,,,,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2021,7,2021-02-20,703,671,,107,29,22,13,42,,13,24,184,36,98,81,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2021,8,2021-02-27,690,660,,118,34,35,15,46,,10,18,154,27,89,79,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2021,9,2021-03-06,497,482,,79,23,31,,27,,15,12,114,29,60,46,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Mississippi,2021,10,2021-03-13,442,429,,81,17,25,10,37,,,,119,20,37,29,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Missouri,2020,1,2020-01-04,1328,1205,18,263,31,63,23,91,41,29,,322,62,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,2,2020-01-11,1334,1220,20,243,42,57,32,80,32,29,14,334,65,0,0,,,,,,,,,,,,,,,
Missouri,2020,3,2020-01-18,1334,1224,16,247,31,60,23,90,35,28,10,324,69,0,0,,,,,,,,,,,,,,,
Missouri,2020,4,2020-01-25,1351,1252,31,259,20,60,32,94,35,22,10,331,69,0,0,,,,,,,,,,,,,,,
Missouri,2020,5,2020-02-01,1364,1234,20,279,38,59,43,84,33,39,,297,68,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,6,2020-02-08,1332,1207,23,257,33,45,29,85,29,52,,323,58,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,7,2020-02-15,1348,1231,25,273,36,53,28,96,32,31,,291,75,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,8,2020-02-22,1361,1243,21,254,33,65,43,84,42,41,,339,56,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,9,2020-02-29,1368,1248,24,239,31,60,44,72,40,39,,325,71,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,10,2020-03-07,1394,1258,23,272,40,53,41,109,45,27,12,325,64,0,0,,,,,,,,,,,,,,,
Missouri,2020,11,2020-03-14,1301,1174,16,234,37,40,45,94,33,31,11,321,63,0,0,,,,,,,,,,,,,,,
Missouri,2020,12,2020-03-21,1270,1167,23,246,28,47,46,83,36,43,,265,91,,,,,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Missouri,2020,13,2020-03-28,1341,1225,17,263,28,62,40,82,33,28,13,313,71,18,18,,,,,,,,,,,,,,,
Missouri,2020,14,2020-04-04,1301,1202,24,246,29,60,24,91,32,27,11,273,70,57,54,,,,,,,,,,,,,,,
Missouri,2020,15,2020-04-11,1464,1339,13,252,46,65,25,94,37,36,,324,68,97,95,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,16,2020-04-18,1354,1235,,228,41,67,22,71,20,30,15,330,68,93,91,,,Suppressed (counts 1-9),,,,,,,,,,,,
Missouri,2020,17,2020-04-25,1448,1306,20,278,27,54,28,63,33,34,15,298,64,134,130,,,,,,,,,,,,,,,
Missouri,2020,18,2020-05-02,1391,1269,23,246,34,65,19,68,25,35,11,304,65,123,117,,,,,,,,,,,,,,,
Missouri,2020,19,2020-05-09,1426,1261,18,256,32,53,13,58,36,44,11,296,76,125,117,,,,,,,,,,,,,,,
Missouri,2020,20,2020-05-16,1343,1229,19,249,39,52,24,74,22,27,,288,57,93,86,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,21,2020-05-23,1304,1167,16,230,34,37,14,92,28,31,17,307,61,80,72,,,,,,,,,,,,,,,
Missouri,2020,22,2020-05-30,1244,1099,14,248,23,62,17,64,20,32,,252,58,59,53,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,23,2020-06-06,1292,1131,16,277,29,46,15,57,24,25,,295,44,54,51,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,24,2020-06-13,1263,1125,21,257,27,51,15,50,28,33,,288,46,46,43,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,25,2020-06-20,1228,1103,19,239,31,41,18,50,23,23,10,300,70,45,36,,,,,,,,,,,,,,,
Missouri,2020,26,2020-06-27,1284,1143,18,261,39,27,14,72,25,25,,287,74,42,35,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,27,2020-07-04,1284,1124,18,287,41,39,,51,18,27,11,296,61,42,35,,,,,,,Suppressed (counts 1-9),,,,,,,,
Missouri,2020,28,2020-07-11,1293,1152,13,222,37,54,17,59,19,25,15,329,52,42,37,,,,,,,,,,,,,,,
Missouri,2020,29,2020-07-18,1366,1217,17,256,26,53,16,77,26,41,,320,64,47,43,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,30,2020-07-25,1356,1211,10,266,33,53,17,62,28,40,11,309,49,87,74,,,,,,,,,,,,,,,
Missouri,2020,31,2020-08-01,1364,1229,15,249,44,46,14,80,25,30,10,320,73,79,65,,,,,,,,,,,,,,,
Missouri,2020,32,2020-08-08,1354,1223,24,241,37,52,19,64,33,41,13,282,59,98,89,,,,,,,,,,,,,,,
Missouri,2020,33,2020-08-15,1380,1237,18,263,40,49,25,75,30,29,11,284,61,106,97,,,,,,,,,,,,,,,
Missouri,2020,34,2020-08-22,1400,1272,16,295,27,53,20,63,27,33,12,299,67,98,85,,,,,,,,,,,,,,,
Missouri,2020,35,2020-08-29,1379,1240,20,288,27,55,18,66,18,26,,258,68,126,112,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,36,2020-09-05,1410,1251,19,236,42,49,20,69,26,38,17,298,83,111,106,,,,,,,,,,,,,,,
Missouri,2020,37,2020-09-12,1366,1256,14,253,30,39,18,69,30,24,,285,80,151,135,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,38,2020-09-19,1443,1312,21,272,31,53,19,60,30,27,16,324,78,131,122,,,,,,,,,,,,,,,
Missouri,2020,39,2020-09-26,1465,1341,18,273,32,57,20,79,27,28,12,306,57,183,156,,,,,,,,,,,,,,,
Missouri,2020,40,2020-10-03,1521,1396,20,237,41,39,14,63,37,33,12,326,68,238,219,,,,,,,,,,,,,,,
Missouri,2020,41,2020-10-10,1530,1384,16,249,32,66,11,85,23,39,19,283,74,227,214,,,,,,,,,,,,,,,
Missouri,2020,42,2020-10-17,1517,1363,21,223,43,49,14,69,29,30,14,308,69,207,195,,,,,,,,,,,,,,,
Missouri,2020,43,2020-10-24,1576,1459,25,266,36,45,20,61,36,43,16,354,65,248,219,,,,,,,,,,,,,,,
Missouri,2020,44,2020-10-31,1609,1497,14,247,33,69,27,59,36,34,,332,65,306,277,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,45,2020-11-07,1784,1646,19,296,45,73,21,67,30,34,13,357,74,370,334,,,,,,,,,,,,,,,
Missouri,2020,46,2020-11-14,1837,1702,29,276,37,69,15,74,35,33,,348,72,446,397,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,47,2020-11-21,1855,1749,28,261,40,66,38,88,31,47,11,327,64,490,447,,,,,,,,,,,,,,,
Missouri,2020,48,2020-11-28,1901,1782,28,248,46,82,22,56,41,32,11,314,62,582,540,,,,,,,,,,,,,,,
Missouri,2020,49,2020-12-05,1952,1828,26,270,40,62,33,84,22,32,10,349,63,563,523,,,,,,,,,,,,,,,
Missouri,2020,50,2020-12-12,2007,1884,16,281,45,59,19,93,44,41,17,357,78,575,528,,,,,,,,,,,,,,,
Missouri,2020,51,2020-12-19,1885,1746,21,241,47,68,19,75,37,36,18,354,76,511,468,,,,,,,,,,,,,,,
Missouri,2020,52,2020-12-26,1817,1682,23,264,46,62,21,91,31,38,16,294,66,484,443,,,,,,,,,,,,,,,
Missouri,2020,53,2021-01-02,1811,1689,17,254,34,74,27,72,31,41,16,339,71,452,399,,,,,,,,,,,,,,,
Missouri,2021,1,2021-01-09,1707,1593,26,243,36,54,22,80,20,27,16,313,56,431,390,,,,,,,,,,,,,,,
Missouri,2021,2,2021-01-16,1720,1621,19,250,35,56,22,59,31,32,11,334,72,415,382,,,,,,,,,,,,,,,
Missouri,2021,3,2021-01-23,1661,1564,24,292,40,72,34,60,34,40,11,294,63,374,333,,,,,,,,,,,,,,,
Missouri,2021,4,2021-01-30,1553,1467,16,272,47,60,24,74,25,32,12,306,50,286,261,,,,,,,,,,,,,,,
Missouri,2021,5,2021-02-06,1407,1316,22,256,44,57,21,59,29,33,15,268,57,194,162,,,,,,,,,,,,,,,
Missouri,2021,6,2021-02-13,1276,1216,19,231,32,41,20,56,25,27,10,304,59,170,150,,,,,,,,,,,,,,,
Missouri,2021,7,2021-02-20,1282,1238,20,230,41,43,20,86,24,31,,287,62,122,108,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2021,8,2021-02-27,1109,1063,21,225,23,41,16,65,20,35,12,258,60,92,72,,,,,,,,,,,,,,,
Missouri,2021,9,2021-03-06,912,893,14,205,21,35,14,47,24,22,13,214,59,68,60,,,,,,,,,,,,,,,
Missouri,2021,10,2021-03-13,702,694,10,163,16,27,,41,25,17,,159,35,35,33,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Montana,2020,1,2020-01-04,231,204,,43,,,,22,,,,46,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,2,2020-01-11,211,187,,45,,,,,,,,52,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,3,2020-01-18,202,184,,35,,,,11,,,,52,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,4,2020-01-25,197,180,,34,,,,21,,,,40,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,5,2020-02-01,218,197,0,44,,,,11,,,,46,11,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
